,brand,model,year,price,color,condition,transmission,fuel_type,mileage
271,Subaru,Outback,2011,"$3,500.00",Black,Used,Automatic,Gasoline,"300,000"
272,GMC,Terrain,2019,"$33,995.00",White,Used,Automatic,Other,"38,143"
273,Hyundai,Elantra,2008,"$3,000.00",Red,Used,Automatic,Gasoline,"190,000"
274,Honda,Odyssey,2017,"$25,595.00",Other,Used,Automatic,Other,"107,049"
275,Toyota,RAV4,2017,"$21,900.00",Grey,Used,NaN,Gasoline,"33,745"
276,Mazda,Other,2006,"$2,495.00",Grey,Used,Automatic,Gasoline,"287,100"
277,Toyota,Corolla,2017,"$16,900.00",White,Used,NaN,Gasoline,"95,547"
278,Volkswagen,Jetta,2010,"$3,495.00",Black,Used,Manual,Gasoline,"185,450"
279,Audi,A8,2014,"$25,999.00",Black,Used,NaN,Gasoline,"122,408"
280,Jeep,Wrangler,2016,"$29,999.00",Blue,Used,NaN,Gasoline,"130,000"
281,Nissan,Versa,2014,"$8,595.00",Other,Used,Automatic,Other,"122,179"
282,Chevrolet,Silverado 2500,2019,"$80,000.00",White,Used,Automatic,NaN,"85,000"
283,Toyota,RAV4,2018,"$25,400.00",Black,Used,NaN,Gasoline,"50,137"
284,Other,Other,2012,"$4,995.00",Gold,Used,Automatic,Other,"210,500"
285,Mazda,3,2012,"$2,500.00",White,Used,NaN,NaN,"220,000"
286,Ford,Edge,2017,"$22,498.00",Other,Used,Automatic,Other,"81,718"
287,Hyundai,Santa Fe,2017,"$22,998.00",Other,Used,Automatic,Other,"74,486"
288,Toyota,Venza,2016,"$20,998.00",Other,Used,Automatic,Other,"69,224"
289,Honda,CR-V,2016,"$18,998.00",Other,Used,Automatic,Other,"72,897"
290,Toyota,RAV4,2017,"$19,998.00",Black,Used,Automatic,Other,"93,245"
291,Toyota,Camry,2016,"$16,998.00",Black,Used,Automatic,Other,"93,966"
292,Mazda,CX-3,2018,"$17,498.00",Other,Used,Automatic,Other,"63,156"
293,Nissan,Rogue,2017,"$16,498.00",Other,Used,Automatic,Other,"72,081"
294,Hyundai,Sonata,2018,"$16,399.00",Other,Used,Automatic,Other,"67,231"
295,Infiniti,QX70,2017,"$39,900.00",Black,Used,Automatic,Gasoline,"52,000"
